time,ch1,ch2,ch3,ch4
15.08.2017 19:56:22.613,5,4,-51,25
15.08.2017 19:56:22.863,27,23,-248,19
15.08.2017 19:56:23.113,15,-30,171,32
15.08.2017 19:56:23.613,4,-15,-284,30
15.08.2017 19:56:23.863,-6,-2,133,30
15.08.2017 19:56:24.113,-6,-2,56,18
15.08.2017 19:56:24.363,-6,10,-290,41
15.08.2017 19:56:24.613,5,22,53,40
15.08.2017 19:56:24.883,-4,-29,77,62
15.08.2017 19:56:25.133,-10,26,-288,22
15.08.2017 19:56:25.383,-28,-10,-59,27
15.08.2017 19:56:25.633,-16,0,176,29
15.08.2017 19:56:25.883,-16,2,-242,28
15.08.2017 19:56:26.133,-7,-35,-113,51
15.08.2017 19:56:26.383,-17,-8,191,37
15.08.2017 19:56:26.633,5,-16,-154,44
15.08.2017 19:56:26.883,-26,6,-192,23
15.08.2017 19:56:27.133,-6,-14,225,-4
15.08.2017 19:56:27.383,-6,13,-114,15
15.08.2017 19:56:27.633,16,30,-232,-14
15.08.2017 19:56:28.133,4,52,-50,-17
15.08.2017 19:56:28.383,5,0,-274,29
15.08.2017 19:56:28.633,-18,-5,149,32
15.08.2017 19:56:29.004,4,-29,-306,20
15.08.2017 19:56:29.254,16,-8,82,14
15.08.2017 19:56:29.504,5,2,83,26
15.08.2017 19:56:29.754,-5,1,-263,17
15.08.2017 19:56:30.004,-8,-5,18,19
15.08.2017 19:56:30.254,-5,0,145,52
15.08.2017 19:56:30.504,4,46,-228,39
15.08.2017 19:56:30.754,17,-33,-78,45
15.08.2017 19:56:31.004,-26,-6,158,48
15.08.2017 19:56:31.254,15,52,-192,32
15.08.2017 19:56:31.504,-29,-3,-155,42
15.08.2017 19:56:31.754,-5,-7,203,15
15.08.2017 19:56:32.004,5,-1,-167,52
15.08.2017 19:56:32.254,-6,3,-214,49
15.08.2017 19:56:32.504,5,-14,179,42
15.08.2017 19:56:32.859,-4,17,-78,35
15.08.2017 19:56:33.109,-8,-33,-257,35
15.08.2017 19:56:33.359,5,8,168,-5
15.08.2017 19:56:33.609,16,23,7,5
15.08.2017 19:56:33.859,-4,-28,-293,20
15.08.2017 19:56:34.109,14,60,169,-1
15.08.2017 19:56:34.359,-6,-21,62,15
15.08.2017 19:56:34.609,5,11,-284,18
15.08.2017 19:56:34.859,-5,-6,63,4
15.08.2017 19:56:35.109,4,-30,101,32
15.08.2017 19:56:35.359,5,0,-284,7
15.08.2017 19:56:35.609,-6,-8,5,3
15.08.2017 19:56:35.859,-5,-5,134,13
15.08.2017 19:56:36.109,-20,-30,-294,7
15.08.2017 19:56:36.359,-18,9,-77,19
15.08.2017 19:56:36.609,-6,22,187,41
15.08.2017 19:56:36.754,-4,-23,-211,55
15.08.2017 19:56:37.004,-7,11,-148,27
15.08.2017 19:56:37.254,-28,13,216,39
15.08.2017 19:56:37.504,-18,-5,-154,32
15.08.2017 19:56:37.754,-5,-3,-207,32
15.08.2017 19:56:38.004,-6,-19,191,49
15.08.2017 19:56:38.254,5,-14,-110,32
15.08.2017 19:56:38.504,-6,-24,-257,41
15.08.2017 19:56:39.004,-9,-38,-66,26
15.08.2017 19:56:39.254,16,-4,-300,20
15.08.2017 19:56:39.504,5,4,113,14
15.08.2017 19:56:39.754,16,1,47,6
15.08.2017 19:56:40.004,15,30,-284,7
15.08.2017 19:56:40.254,16,14,60,26
